,Date,Season,home,visitor,FT,hgoal,vgoal
12741,2008-05-10,2007,Karlsruher SC,VfL Bochum,1-3,1,3
12742,2008-05-10,2007,Arminia Bielefeld,Borussia Dortmund,2-2,2,2
12743,2008-05-10,2007,Werder Bremen,Hannover 96,6-1,6,1
12744,2008-05-10,2007,FC Schalke 04,Eintracht Frankfurt,1-0,1,0
12745,2008-05-17,2007,1. FC Nurnberg,FC Schalke 04,0-2,0,2
12746,2008-05-17,2007,Bayer Leverkusen,Werder Bremen,0-1,0,1
12747,2008-05-17,2007,Bayern Munchen,Hertha BSC,4-1,4,1
12748,2008-05-17,2007,VfB Stuttgart,Arminia Bielefeld,2-2,2,2
12749,2008-05-17,2007,Hannover 96,Energie Cottbus,4-0,4,0
12750,2008-05-17,2007,Borussia Dortmund,VfL Wolfsburg,2-4,2,4
12751,2008-05-17,2007,Hamburger SV,Karlsruher SC,7-0,7,0
12752,2008-05-17,2007,VfL Bochum,Hansa Rostock,1-2,1,2
12753,2008-05-17,2007,Eintracht Frankfurt,MSV Duisburg,4-2,4,2
12754,2008-08-15,2008,Bayern Munchen,Hamburger SV,2-2,2,2
12755,2008-08-16,2008,FC Schalke 04,Hannover 96,3-0,3,0
12756,2008-08-16,2008,VfL Wolfsburg,1. FC Koln,2-1,2,1
12757,2008-08-16,2008,Bayer Leverkusen,Borussia Dortmund,2-3,2,3
12758,2008-08-16,2008,Karlsruher SC,VfL Bochum,1-0,1,0
12759,2008-08-16,2008,Energie Cottbus,1899 Hoffenheim,0-3,0,3
12760,2008-08-16,2008,Arminia Bielefeld,Werder Bremen,2-2,2,2
12761,2008-08-17,2008,Eintracht Frankfurt,Hertha BSC,0-2,0,2
12762,2008-08-17,2008,Bor. Monchengladbach,VfB Stuttgart,1-3,1,3
12763,2008-08-22,2008,Hannover 96,Energie Cottbus,0-0,0,0
12764,2008-08-23,2008,Werder Bremen,FC Schalke 04,1-1,1,1
12765,2008-08-23,2008,Hamburger SV,Karlsruher SC,2-1,2,1
12766,2008-08-23,2008,VfB Stuttgart,Bayer Leverkusen,0-2,0,2
12767,2008-08-23,2008,Hertha BSC,Arminia Bielefeld,1-1,1,1
12768,2008-08-23,2008,Borussia Dortmund,Bayern Munchen,1-1,1,1
12769,2008-08-23,2008,1899 Hoffenheim,Bor. Monchengladbach,1-0,1,0
