,Date,Season,home,visitor,FT,hgoal,vgoal
4267,2014-10-30,2014,New York Red Bulls,Sporting Kansas City,2-1,2,1
4268,2014-11-01,2014,Columbus Crew,New England Revolution,2-4,2,4
4269,2014-11-01,2014,Real Salt Lake,LA Galaxy,0-0,0,0
4270,2014-11-02,2014,New York Red Bulls,DC United,2-0,2,0
4271,2014-11-02,2014,FC Dallas,Seattle Sounders,1-1,1,1
4272,2014-11-08,2014,DC United,New York Red Bulls,2-1,2,1
4273,2014-11-09,2014,New England Revolution,Columbus Crew,3-1,3,1
4274,2014-11-09,2014,LA Galaxy,Real Salt Lake,5-0,5,0
4275,2014-11-10,2014,Seattle Sounders,FC Dallas,0-0,0,0
4276,2014-11-23,2014,New York Red Bulls,New England Revolution,1-2,1,2
4277,2014-11-23,2014,LA Galaxy,Seattle Sounders,1-0,1,0
4278,2014-11-29,2014,New England Revolution,New York Red Bulls,2-2,2,2
4279,2014-11-30,2014,Seattle Sounders,LA Galaxy,2-1,2,1
4280,2014-12-07,2014,LA Galaxy,New England Revolution,1-1,1,1
4281,2015-03-06,2015,LA Galaxy,Chicago Fire,2-0,2,0
4282,2015-03-07,2015,DC United,Montreal Impact,1-0,1,0
4283,2015-03-07,2015,Philadelphia Union,Colorado Rapids,0-0,0,0
4284,2015-03-07,2015,Vancouver Whitecaps,Toronto FC,1-3,1,3
4285,2015-03-07,2015,FC Dallas,San Jose Earthquakes,1-0,1,0
4286,2015-03-07,2015,Houston Dynamo,Columbus Crew,1-0,1,0
4287,2015-03-07,2015,Portland Timbers,Real Salt Lake,0-0,0,0
4288,2015-03-08,2015,Orlando City,New York City FC,1-1,1,1
4289,2015-03-08,2015,Sporting Kansas City,New York Red Bulls,1-1,1,1
4290,2015-03-08,2015,Seattle Sounders,New England Revolution,3-0,3,0
4291,2015-03-13,2015,Houston Dynamo,Orlando City,0-1,0,1
4292,2015-03-14,2015,Chicago Fire,Vancouver Whitecaps,0-1,0,1
4293,2015-03-14,2015,Columbus Crew,Toronto FC,2-0,2,0
4294,2015-03-14,2015,FC Dallas,Sporting Kansas City,3-1,3,1
4295,2015-03-14,2015,Real Salt Lake,Philadelphia Union,3-3,3,3
4296,2015-03-14,2015,Seattle Sounders,San Jose Earthquakes,2-3,2,3
4297,2015-03-15,2015,New York City FC,New England Revolution,2-0,2,0
4298,2015-03-15,2015,Portland Timbers,LA Galaxy,2-2,2,2
4299,2015-03-21,2015,New England Revolution,Montreal Impact,0-0,0,0
4300,2015-03-21,2015,Colorado Rapids,New York City FC,0-0,0,0
4301,2015-03-21,2015,Philadelphia Union,FC Dallas,0-2,0,2
4302,2015-03-21,2015,Orlando City,Vancouver Whitecaps,0-1,0,1
4303,2015-03-21,2015,Sporting Kansas City,Portland Timbers,0-0,0,0
4304,2015-03-21,2015,LA Galaxy,Houston Dynamo,1-1,1,1
4305,2015-03-22,2015,New York Red Bulls,DC United,2-0,2,0
4306,2015-03-22,2015,San Jose Earthquakes,Chicago Fire,2-1,2,1
4307,2015-03-28,2015,New England Revolution,San Jose Earthquakes,2-1,2,1
4308,2015-03-28,2015,Montreal Impact,Orlando City,2-2,2,2
4309,2015-03-28,2015,New York City FC,Sporting Kansas City,0-1,0,1
4310,2015-03-28,2015,DC United,LA Galaxy,1-0,1,0
4311,2015-03-28,2015,Columbus Crew,New York Red Bulls,1-2,1,2
4312,2015-03-28,2015,Vancouver Whitecaps,Portland Timbers,2-1,2,1
4313,2015-03-28,2015,FC Dallas,Seattle Sounders,0-0,0,0
4314,2015-03-28,2015,Houston Dynamo,Colorado Rapids,0-0,0,0
4315,2015-03-29,2015,Chicago Fire,Philadelphia Union,1-0,1,0
4316,2015-03-29,2015,Real Salt Lake,Toronto FC,2-1,2,1
4317,2015-04-03,2015,Orlando City,DC United,0-1,0,1
4318,2015-04-04,2015,Chicago Fire,Toronto FC,3-2,3,2
4319,2015-04-04,2015,Colorado Rapids,New England Revolution,0-2,0,2
4320,2015-04-04,2015,Vancouver Whitecaps,LA Galaxy,2-0,2,0
4321,2015-04-04,2015,Seattle Sounders,Houston Dynamo,1-0,1,0
